,year,open,high,low,close,adj_close,volume
0,1970,83.15204740509273,84.0114567974421,82.29212579201526,83.15413395438607,83.15413395438607,11601299.212598424
1,1971,98.30687743778756,99.07189727300712,97.56513838334517,98.31501972062786,98.31501972062786,15394229.249011857
2,1972,109.07103589426474,109.95278888109671,108.27996008519632,109.13482076333338,109.13482076333338,16483545.816733068
3,1973,107.51416681683253,108.55408744206504,106.35404768444243,107.43841283283537,107.43841283283537,16102301.587301588
4,1974,82.8863241474619,83.87936714986567,81.7955336589587,82.78090915001428,82.78090915001428,13903557.312252965
5,1975,86.0973123241319,87.09596831431031,85.25296463796744,86.18122532056725,86.18122532056725,18566126.482213438
6,1976,101.96446632113853,102.81806327608734,101.1903164226547,102.03529629311542,102.03529629311542,21182252.96442688
7,1977,98.23007931784979,98.85825375148228,97.51726214090984,98.18186502608042,98.18186502608042,20943253.968253966
8,1978,96.11376965235151,96.89063496059842,95.3445236872113,96.11396807716007,96.11396807716007,28571746.031746034
9,1979,102.94573124218364,103.75905147748503,102.16335947994187,102.99905133153139,102.99905133153139,32264268.77470356
10,1980,118.5996046707093,119.98679867469275,117.37229234898986,118.71011835030416,118.71011835030416,44864150.19762846
11,1981,128.07446644899872,129.36466407021987,126.76470347167003,128.0379051841766,128.0379051841766,46857075.09881423
12,1982,119.63814225027213,120.65996029819895,118.74343881117025,119.70573159922724,119.70573159922724,65044980.23715415
13,1983,160.37154138135344,161.19675906938997,159.59648252947056,160.47312203509063,160.47312203509063,85309604.743083
14,1984,160.46450588542953,161.25814240346313,159.66268788213316,160.46355724711663,160.46355724711663,91223833.99209486
15,1985,186.6458725702195,187.47376989939855,185.999880472819,186.82817422775994,186.82817422775994,109166904.76190476
16,1986,236.24079038597378,237.5317781470981,234.8852570424438,236.39047410082912,236.39047410082912,141025652.17391303
17,1987,286.9821341895303,289.34320068359375,284.42766809275025,286.99802377572644,286.99802377572644,188926719.36758894
18,1988,265.76948601643556,267.33996039228475,264.1128058150823,265.88015813412875,265.88015813412875,161454624.50592884
19,1989,322.7546029469324,324.3465866815476,321.25531708248076,323.05142853752017,323.05142853752017,165458690.47619048
20,1990,334.73047453989625,336.64367543096125,332.2926091733186,334.6320559535573,334.6320559535573,156848735.17786562
21,1991,375.8366395249197,378.0238741546751,373.8909873510067,376.1863238067024,376.1863238067024,179204150.19762847
22,1992,415.6739763875646,417.26184995155637,413.8507084884043,415.74700795571636,415.74700795571636,202025984.2519685
23,1993,451.4900384835104,453.0391697337034,449.849763169119,451.6148210005327,451.6148210005327,264712213.4387352
24,1994,460.45091295999197,462.16849227178665,458.3992849683005,460.416508023701,460.416508023701,291461666.6666667
25,1995,541.0964293706985,543.1567456684415,539.2567861647833,541.7190869043744,541.7190869043744,346203769.84126985
26,1996,670.0030318132535,673.3333077017717,666.5708281749816,670.4948427695928,670.4948427695928,411420118.1102362
27,1997,872.5200007140872,878.9820168235085,866.518222492203,873.4277876902946,873.4277876902946,525648142.2924901
28,1998,1084.4771813286675,1092.914999825614,1075.97020031157,1085.5032527863034,1085.5032527863034,672261706.3492063
29,1999,1326.3770272391182,1336.4913136315724,1316.1414664132255,1327.329567076668,1327.329567076668,808341984.1269841
30,2000,1427.8211485847594,1440.2791278173054,1414.1751239110554,1427.2210688515315,1427.2210688515315,1034489126.9841269
31,2001,1194.883792508033,1204.043994042181,1183.3343973467427,1194.1789944556451,1194.1789944556451,1232067661.2903225
32,2002,994.9515901595827,1003.8632560608879,983.8934146941655,993.934804038396,993.934804038396,1429026388.8888888
33,2003,964.3069445897662,971.268809242854,957.9956338065011,965.227539789109,965.227539789109,1384450992.063492
34,2004,1130.2555164155506,1135.7776620047432,1125.0418236142114,1130.6494445800781,1130.6494445800781,1423203769.8412697
35,2005,1207.0870632595486,1212.5728963216145,1202.005836607918,1207.2294432624938,1207.2294432624938,1919903650.7936509
36,2006,1309.7625902639443,1315.6116369483007,1304.4949785817666,1310.4612356239106,1310.4612356239106,2394512988.0478086
37,2007,1476.9583638103834,1485.24103391123,1467.946454903044,1477.18434222096,1477.18434222096,3227437649.4023905
38,2008,1222.0269558269515,1235.6997253659215,1204.9808320659895,1220.042055635113,1220.042055635113,5033222924.901186
39,2009,947.0220634823754,956.3463493226067,938.2868642655629,948.046387929765,948.046387929765,5573207539.68254
40,2010,1139.3697606646826,1146.5733720083085,1131.280990358383,1139.9655124724857,1139.9655124724857,4569371388.888889
41,2011,1267.6182105654761,1277.2234501914372,1257.176747155568,1267.6388094463045,1267.6388094463045,4109055833.3333335
42,2012,1378.6806381835938,1385.8454013671876,1371.2690024414062,1379.3541596679688,1379.3541596679688,3631677120.0
43,2013,1642.2986488947793,1649.615711999318,1635.7401559012276,1643.7989681183346,1643.7989681183346,3358966626.984127
44,2014,1930.7544851151724,1938.8355989002046,1922.292981344556,1931.3761097741506,1931.3761097741506,3354782658.730159
45,2015,2061.2680160280256,2071.8628990536645,2049.336906312004,2061.0677412729415,2061.0677412729415,3655629365.0793653
46,2016,2094.091549827939,2103.306865873791,2083.7530580550906,2094.6512640090214,2094.6512640090214,3905232023.8095236
47,2017,2448.275887660296,2454.3448179936504,2441.850751291708,2449.076379054096,2449.076379054096,3412303306.772908
48,2018,2747.910716508964,2762.645180022099,2730.284102846427,2746.214183305839,2746.214183305839,3612422270.9163346
