,year,avg_temp,avg_temp_uncert
156,1955,47.33089999999999,32.270450000000004
157,1956,47.65985,32.3357
158,1957,48.427400000000006,32.62325
159,1958,48.146300000000004,32.41864999999999
160,1959,47.885600000000004,32.37635
161,1960,47.64605000000001,32.324450000000006
162,1961,47.5556,32.337050000000005
163,1962,48.121700000000004,32.428850000000004
164,1963,48.344,32.33465
165,1964,47.285,32.31035
166,1965,47.565799999999996,32.40815
167,1966,47.2694,32.34244999999999
168,1967,48.023599999999995,32.35129999999999
169,1968,47.39585,32.3357
170,1969,47.7875,32.31065
171,1970,47.6114,32.31965
172,1971,47.19649999999999,32.30285
173,1972,47.17055000000001,32.33090000000001
174,1973,48.0824,32.36345
175,1974,47.86865,32.33435000000001
176,1975,47.1758,32.3708
177,1976,47.572250000000004,32.37005
178,1977,48.685700000000004,32.29595
179,1978,47.75254999999999,32.367799999999995
180,1979,47.428850000000004,32.323550000000004
181,1980,48.44389999999999,32.26085
182,1981,49.49869999999999,32.3177
183,1982,47.371100000000006,32.2763
184,1983,48.04220000000001,32.32835
185,1984,47.860099999999996,32.294149999999995
186,1985,47.4566,32.35655
187,1986,49.2071,32.347849999999994
188,1987,49.33070000000001,32.2742
189,1988,48.69559999999999,32.27405000000001
190,1989,47.97155,32.33285
191,1990,49.13884999999999,32.335100000000004
192,1991,49.08859999999999,32.257250000000006
193,1992,48.30140000000001,32.3654
194,1993,47.96105000000001,32.2985
195,1994,48.6866,32.2985
196,1995,48.79579999999999,32.2667
197,1996,47.7578,32.25155
198,1997,48.51125,32.301500000000004
199,1998,50.254099999999994,32.23025
200,1999,49.22059999999999,32.2619
201,2000,49.36955000000001,32.292049999999996
202,2001,49.61405,32.24975
203,2002,49.66909999999999,32.2562
204,2003,49.55914999999999,32.35325000000001
205,2004,49.401500000000006,32.31154999999999
206,2005,49.8068,32.24615
207,2006,49.954100000000004,32.32280000000001
208,2007,49.70750000000001,32.25560000000001
209,2008,48.112550000000006,32.257850000000005
210,2009,48.44674999999999,32.2964
211,2010,49.11005,32.279149999999994
212,2011,49.18985,32.31155
213,2012,50.469950000000004,32.387899999999995
214,2013,52.3348,32.5738
