,year,avg_temp,avg_temp_uncert
0,1768,42.03095,38.76259999999999
1,1769,50.8037,38.648075000000006
2,1774,34.8854,38.5388
3,1775,49.09850000000001,36.95915
4,1776,46.598,37.33176363636363
5,1777,46.948550000000004,36.80615000000001
6,1778,41.6516,37.7126
7,1779,30.7154,38.5964
8,1781,43.255849999999995,37.4162
9,1782,45.69157142857143,37.729914285714294
10,1796,54.01579999999999,37.3537142857143
11,1797,43.44230000000001,37.439299999999996
12,1811,46.47812,37.47416
13,1812,44.622800000000005,36.811699999999995
14,1813,49.854000000000006,37.193999999999996
15,1814,38.8118,38.5502
16,1815,45.5024,36.8534
17,1816,39.913925,37.595975
18,1817,45.01385000000001,36.70249999999999
19,1818,43.29446,37.16096
20,1819,27.005599999999998,38.3774
21,1820,45.614900000000006,36.12395
22,1821,46.40735000000001,36.55895
23,1822,47.09630000000001,36.03185
24,1823,46.2398,36.1895
25,1824,47.30405,36.515299999999996
26,1825,48.1397,36.21005
27,1826,47.44219999999999,36.184850000000004
28,1827,48.3836,36.325250000000004
29,1828,47.9273,35.699450000000006
30,1829,47.10065,35.766349999999996
31,1830,48.58715,36.328250000000004
32,1831,45.897349999999996,37.062050000000006
33,1832,46.84535,35.96
34,1833,47.86145,35.166050000000006
35,1834,47.89325,35.520950000000006
36,1835,45.57065,35.30855
37,1836,45.61505,35.45584999999999
38,1837,46.37194999999999,35.45329999999999
39,1838,45.58759999999999,36.09455
40,1839,47.3399,35.1812
41,1840,46.8527,34.9784
42,1841,46.66865000000001,34.7972
43,1842,47.044999999999995,34.863949999999996
44,1843,46.010600000000004,34.7729
45,1844,46.5491,34.66909999999999
46,1845,47.13604999999999,34.99595
47,1846,48.44540000000001,35.6555
48,1847,46.23274999999999,35.652499999999996
49,1848,46.430299999999995,35.1689
50,1849,46.6325,34.61480000000001
51,1850,46.847,34.6859
52,1851,47.58350000000001,34.7468
53,1852,46.729549999999996,34.50875
54,1853,47.22785,34.324400000000004
55,1854,47.87825,34.67135
56,1855,47.22694999999999,34.790749999999996
57,1856,46.29784999999999,34.476949999999995
58,1857,46.6526,34.0229
59,1858,47.1431,34.4438
60,1859,46.430299999999995,34.24940000000001
61,1860,47.44565,34.093849999999996
62,1861,47.570899999999995,34.07465
63,1862,46.785199999999996,34.3316
64,1863,47.20325,34.3418
65,1864,47.085950000000004,34.326800000000006
66,1865,47.2922,34.02965
67,1866,47.0018,34.01435
68,1867,47.3162,34.32169999999999
69,1868,46.77334999999999,34.01435
70,1869,46.960249999999995,33.8864
71,1870,47.893100000000004,33.818450000000006
72,1871,47.67215000000001,33.746449999999996
73,1872,46.40135,34.14665
74,1873,46.51355,33.66500000000001
75,1874,47.7824,33.3545
76,1875,46.129400000000004,33.401149999999994
77,1876,46.5782,33.67325
78,1877,47.653850000000006,33.91955000000001
79,1878,48.23089999999999,33.692299999999996
80,1879,47.62985,33.7244
81,1880,46.598600000000005,33.90275
82,1881,47.5583,33.57515
83,1882,47.065850000000005,33.13475
84,1883,46.29605,33.173449999999995
85,1884,46.324400000000004,33.130100000000006
86,1885,46.68515,33.05989999999999
87,1886,46.72730000000001,33.239749999999994
88,1887,46.658449999999995,33.381499999999996
89,1888,46.71110000000001,33.312050000000006
90,1889,47.83655000000001,33.2234
91,1890,47.4065,33.32195000000001
92,1891,46.97015000000001,33.42485
93,1892,46.72039999999999,33.47735
94,1893,46.7078,32.81720000000001
95,1894,47.24015,32.9162
96,1895,46.1252,32.72465
97,1896,47.270450000000004,32.72675
98,1897,47.25169999999999,32.82305
99,1898,47.17025,32.8574
100,1899,46.70029999999999,32.7167
101,1900,48.23884999999999,32.721050000000005
102,1901,47.290850000000006,32.7257
103,1902,47.2172,32.7389
104,1903,46.35905,32.754200000000004
105,1904,46.7612,32.7896
106,1905,47.124199999999995,32.660599999999995
107,1906,47.40815,32.621599999999994
108,1907,47.10920000000001,32.579899999999995
109,1908,47.76005,32.62055000000001
110,1909,46.799299999999995,32.50639999999999
111,1910,47.76425,32.503099999999996
112,1911,47.72825,32.55335
113,1912,46.65365,32.60045
114,1913,47.3939,32.55635
115,1914,47.9777,32.627
116,1915,47.566849999999995,32.61035
117,1916,46.72415,32.487649999999995
118,1917,45.8051,32.6138
119,1918,47.302249999999994,32.45645
120,1919,47.3684,32.5232
121,1920,46.7321,32.586800000000004
122,1921,49.2722,32.5028
123,1922,47.7827,32.450750000000006
124,1923,47.7686,32.4059
125,1924,46.4942,32.420449999999995
126,1925,48.22955000000001,32.5022
127,1926,48.452450000000006,32.44895
128,1927,47.69480000000001,32.366150000000005
129,1928,47.9768,32.42405
130,1929,47.191100000000006,32.36555
131,1930,47.727799999999995,32.32835
132,1931,49.20934999999999,32.35505
133,1932,47.371100000000006,32.41159999999999
134,1933,48.255050000000004,32.37215
135,1934,49.68785,32.34305
136,1935,47.7365,32.354749999999996
137,1936,48.06005000000001,32.34245
138,1937,47.71535,32.331950000000006
139,1938,49.04930000000001,32.28275
140,1939,48.7535,32.336000000000006
141,1940,48.3749,32.291450000000005
142,1941,48.67895000000001,32.3153
143,1942,48.05480000000001,32.29459999999999
144,1943,48.20629999999999,32.28665
145,1944,48.01669999999999,32.2985
146,1945,47.60825,32.2643
147,1946,48.52325000000001,32.26835
148,1947,47.90495000000001,32.2652
149,1948,47.267,32.2523
150,1949,47.99855,32.25275
151,1950,47.581550000000014,32.26925
152,1951,47.149849999999994,32.400650000000006
153,1952,48.162949999999995,32.207150000000006
154,1953,49.15475,32.22035
155,1954,48.93905,32.292049999999996
